"province","variable","value","year"
"España","Tasa de nacimientos","0.275","2010"
"Álava","Total de nacimientos","16","2011"
"Albacete","Total de nacimientos","31","2011"
"Alicante","Total de nacimientos","145","2011"
"Almería","Total de nacimientos","104","2011"
"Ávila","Total de nacimientos","9","2011"
"Badajoz","Total de nacimientos","69","2011"
"Baleares","Total de nacimientos","71","2011"
"Barcelona","Total de nacimientos","301","2011"
"Burgos","Total de nacimientos","19","2011"
"Cáceres","Total de nacimientos","20","2011"
"Cádiz","Total de nacimientos","122","2011"
"Castellón","Total de nacimientos","45","2011"
"Ciudad Real","Total de nacimientos","49","2011"
"Córdoba","Total de nacimientos","69","2011"
"A Coruña","Total de nacimientos","32","2011"
"Cuenca","Total de nacimientos","14","2011"
"Girona","Total de nacimientos","39","2011"
"Granada","Total de nacimientos","80","2011"
"Guadalajara","Total de nacimientos","11","2011"
"Gipuzkoa","Total de nacimientos","15","2011"
"Huelva","Total de nacimientos","50","2011"
"Huesca","Total de nacimientos","14","2011"
"Jaén","Total de nacimientos","70","2011"
"León","Total de nacimientos","28","2011"
"Lleida","Total de nacimientos","33","2011"
"La Rioja","Total de nacimientos","16","2011"
"Lugo","Total de nacimientos","9","2011"
"Madrid","Total de nacimientos","521","2011"
"Malaga","Total de nacimientos","131","2011"
"Murcia","Total de nacimientos","209","2011"
"Navarra","Total de nacimientos","27","2011"
"Ourense","Total de nacimientos","11","2011"
"Asturias","Total de nacimientos","40","2011"
"Palencia","Total de nacimientos","6","2011"
"Las Palmas","Total de nacimientos","75","2011"
"Pontevedra","Total de nacimientos","30","2011"
"Salamanca","Total de nacimientos","19","2011"
"Tenerife","Total de nacimientos","66","2011"
"Cantabria","Total de nacimientos","16","2011"
"Segovia","Total de nacimientos","11","2011"
"Sevilla","Total de nacimientos","166","2011"
"Soria","Total de nacimientos","1","2011"
"Tarragona","Total de nacimientos","53","2011"
"Teruel","Total de nacimientos","3","2011"
"Toledo","Total de nacimientos","53","2011"
"Valencia","Total de nacimientos","180","2011"
"Valladolid","Total de nacimientos","51","2011"
"Bizkaia","Total de nacimientos","38","2011"
"Zamora","Total de nacimientos","9","2011"
"Zaragoza","Total de nacimientos","56","2011"
"Ceuta","Total de nacimientos","15","2011"
"Melilla","Total de nacimientos","21","2011"
"España","Total de nacimientos","3289","2011"
"Álava","Tasa de nacimientos","0.217","2011"
"Albacete","Tasa de nacimientos","0.251","2011"
"Alicante","Tasa de nacimientos","0.272","2011"
"Almería","Tasa de nacimientos","0.485","2011"
"Ávila","Tasa de nacimientos","0.203","2011"
"Badajoz","Tasa de nacimientos","0.314","2011"
"Baleares","Tasa de nacimientos","0.236","2011"
"Barcelona","Tasa de nacimientos","0.213","2011"
"Burgos","Tasa de nacimientos","0.214","2011"
"Cáceres","Tasa de nacimientos","0.172","2011"
"Cádiz","Tasa de nacimientos","0.317","2011"
"Castellón","Tasa de nacimientos","0.276","2011"
"Ciudad Real","Tasa de nacimientos","0.299","2011"
"Córdoba","Tasa de nacimientos","0.273","2011"
"A Coruña","Tasa de nacimientos","0.126","2011"
"Cuenca","Tasa de nacimientos","0.231","2011"
"Girona","Tasa de nacimientos","0.189","2011"
"Granada","Tasa de nacimientos","0.274","2011"
"Guadalajara","Tasa de nacimientos","0.156","2011"
"Gipuzkoa","Tasa de nacimientos","0.088","2011"
"Huelva","Tasa de nacimientos","0.318","2011"
"Huesca","Tasa de nacimientos","0.252","2011"
"Jaén","Tasa de nacimientos","0.309","2011"
"León","Tasa de nacimientos","0.259","2011"
"Lleida","Tasa de nacimientos","0.288","2011"
"La Rioja","Tasa de nacimientos","0.189","2011"
"Lugo","Tasa de nacimientos","0.128","2011"
"Madrid","Tasa de nacimientos","0.309","2011"
"Malaga","Tasa de nacimientos","0.273","2011"
"Murcia","Tasa de nacimientos","0.456","2011"
"Navarra","Tasa de nacimientos","0.155","2011"
"Ourense","Tasa de nacimientos","0.164","2011"
"Asturias","Tasa de nacimientos","0.185","2011"
"Palencia","Tasa de nacimientos","0.149","2011"
"Las Palmas","Tasa de nacimientos","0.23","2011"
"Pontevedra","Tasa de nacimientos","0.128","2011"
"Salamanca","Tasa de nacimientos","0.223","2011"
"Tenerife","Tasa de nacimientos","0.227","2011"
"Cantabria","Tasa de nacimientos","0.119","2011"
"Segovia","Tasa de nacimientos","0.251","2011"
"Sevilla","Tasa de nacimientos","0.279","2011"
"Soria","Tasa de nacimientos","0.043","2011"
"Tarragona","Tasa de nacimientos","0.239","2011"
"Teruel","Tasa de nacimientos","0.079","2011"
"Toledo","Tasa de nacimientos","0.254","2011"
"Valencia","Tasa de nacimientos","0.263","2011"
"Valladolid","Tasa de nacimientos","0.399","2011"
"Bizkaia","Tasa de nacimientos","0.15","2011"
"Zamora","Tasa de nacimientos","0.213","2011"
"Zaragoza","Tasa de nacimientos","0.232","2011"
"Ceuta","Tasa de nacimientos","0.499","2011"
"Melilla","Tasa de nacimientos","0.679","2011"
"España","Tasa de nacimientos","0.259","2011"
"Álava","Total de nacimientos","13","2012"
"Albacete","Total de nacimientos","41","2012"
"Alicante","Total de nacimientos","136","2012"
"Almería","Total de nacimientos","96","2012"
"Ávila","Total de nacimientos","10","2012"
"Badajoz","Total de nacimientos","62","2012"
"Baleares","Total de nacimientos","70","2012"
"Barcelona","Total de nacimientos","278","2012"
"Burgos","Total de nacimientos","23","2012"
"Cáceres","Total de nacimientos","20","2012"
"Cádiz","Total de nacimientos","133","2012"
"Castellón","Total de nacimientos","37","2012"
"Ciudad Real","Total de nacimientos","48","2012"
"Córdoba","Total de nacimientos","58","2012"
"A Coruña","Total de nacimientos","39","2012"
"Cuenca","Total de nacimientos","10","2012"
"Girona","Total de nacimientos","37","2012"
"Granada","Total de nacimientos","80","2012"
"Guadalajara","Total de nacimientos","9","2012"
"Gipuzkoa","Total de nacimientos","21","2012"
"Huelva","Total de nacimientos","49","2012"
"Huesca","Total de nacimientos","7","2012"
"Jaén","Total de nacimientos","55","2012"
"León","Total de nacimientos","27","2012"
"Lleida","Total de nacimientos","27","2012"
"La Rioja","Total de nacimientos","20","2012"
"Lugo","Total de nacimientos","17","2012"
"Madrid","Total de nacimientos","447","2012"
"Malaga","Total de nacimientos","111","2012"
"Murcia","Total de nacimientos","174","2012"
"Navarra","Total de nacimientos","31","2012"
"Ourense","Total de nacimientos","9","2012"
"Asturias","Total de nacimientos","48","2012"
"Palencia","Total de nacimientos","9","2012"
"Las Palmas","Total de nacimientos","74","2012"
"Pontevedra","Total de nacimientos","35","2012"
"Salamanca","Total de nacimientos","17","2012"
"Tenerife","Total de nacimientos","70","2012"
"Cantabria","Total de nacimientos","16","2012"
"Segovia","Total de nacimientos","11","2012"
"Sevilla","Total de nacimientos","155","2012"
"Soria","Total de nacimientos","3","2012"
"Tarragona","Total de nacimientos","56","2012"
"Teruel","Total de nacimientos","4","2012"
"Toledo","Total de nacimientos","55","2012"
"Valencia","Total de nacimientos","193","2012"
"Valladolid","Total de nacimientos","38","2012"
"Bizkaia","Total de nacimientos","44","2012"
"Zamora","Total de nacimientos","6","2012"
"Zaragoza","Total de nacimientos","49","2012"
"Ceuta","Total de nacimientos","13","2012"
"Melilla","Total de nacimientos","15","2012"
"España","Total de nacimientos","3106","2012"
"Álava","Tasa de nacimientos","0.172","2012"
"Albacete","Tasa de nacimientos","0.334","2012"
"Alicante","Tasa de nacimientos","0.254","2012"
"Almería","Tasa de nacimientos","0.449","2012"
"Ávila","Tasa de nacimientos","0.229","2012"
"Badajoz","Tasa de nacimientos","0.289","2012"
"Baleares","Tasa de nacimientos","0.232","2012"
"Barcelona","Tasa de nacimientos","0.194","2012"
"Burgos","Tasa de nacimientos","0.259","2012"
"Cáceres","Tasa de nacimientos","0.176","2012"
"Cádiz","Tasa de nacimientos","0.351","2012"
"Castellón","Tasa de nacimientos","0.227","2012"
"Ciudad Real","Tasa de nacimientos","0.299","2012"
"Córdoba","Tasa de nacimientos","0.236","2012"
"A Coruña","Tasa de nacimientos","0.157","2012"
"Cuenca","Tasa de nacimientos","0.167","2012"
"Girona","Tasa de nacimientos","0.177","2012"
"Granada","Tasa de nacimientos","0.281","2012"
"Guadalajara","Tasa de nacimientos","0.126","2012"
"Gipuzkoa","Tasa de nacimientos","0.121","2012"
"Huelva","Tasa de nacimientos","0.318","2012"
"Huesca","Tasa de nacimientos","0.123","2012"
"Jaén","Tasa de nacimientos","0.252","2012"
"León","Tasa de nacimientos","0.254","2012"
"Lleida","Tasa de nacimientos","0.236","2012"
"La Rioja","Tasa de nacimientos","0.233","2012"
"Lugo","Tasa de nacimientos","0.251","2012"
"Madrid","Tasa de nacimientos","0.266","2012"
"Malaga","Tasa de nacimientos","0.231","2012"
"Murcia","Tasa de nacimientos","0.38","2012"
"Navarra","Tasa de nacimientos","0.175","2012"
"Ourense","Tasa de nacimientos","0.139","2012"
"Asturias","Tasa de nacimientos","0.223","2012"
"Palencia","Tasa de nacimientos","0.225","2012"
"Las Palmas","Tasa de nacimientos","0.226","2012"
"Pontevedra","Tasa de nacimientos","0.152","2012"
"Salamanca","Tasa de nacimientos","0.207","2012"
"Tenerife","Tasa de nacimientos","0.246","2012"
"Cantabria","Tasa de nacimientos","0.119","2012"
"Segovia","Tasa de nacimientos","0.255","2012"
"Sevilla","Tasa de nacimientos","0.264","2012"
"Soria","Tasa de nacimientos","0.13","2012"
"Tarragona","Tasa de nacimientos","0.249","2012"
"Teruel","Tasa de nacimientos","0.108","2012"
"Toledo","Tasa de nacimientos","0.264","2012"
"Valencia","Tasa de nacimientos","0.282","2012"
"Valladolid","Tasa de nacimientos","0.297","2012"
"Bizkaia","Tasa de nacimientos","0.171","2012"
"Zamora","Tasa de nacimientos","0.148","2012"
"Zaragoza","Tasa de nacimientos","0.202","2012"
"Ceuta","Tasa de nacimientos","0.43","2012"
"Melilla","Tasa de nacimientos","0.48","2012"
"España","Tasa de nacimientos","0.245","2012"
"Álava","Total de nacimientos","13","2013"
"Albacete","Total de nacimientos","38","2013"
"Alicante","Total de nacimientos","149","2013"
"Almería","Total de nacimientos","96","2013"
"Ávila","Total de nacimientos","4","2013"
"Badajoz","Total de nacimientos","53","2013"
"Baleares","Total de nacimientos","53","2013"
"Barcelona","Total de nacimientos","256","2013"
"Burgos","Total de nacimientos","27","2013"
"Cáceres","Total de nacimientos","21","2013"
"Cádiz","Total de nacimientos","115","2013"
"Castellón","Total de nacimientos","27","2013"
"Ciudad Real","Total de nacimientos","55","2013"
"Córdoba","Total de nacimientos","58","2013"
"A Coruña","Total de nacimientos","39","2013"
"Cuenca","Total de nacimientos","11","2013"
"Girona","Total de nacimientos","34","2013"
"Granada","Total de nacimientos","81","2013"
"Guadalajara","Total de nacimientos","13","2013"
"Gipuzkoa","Total de nacimientos","21","2013"
"Huelva","Total de nacimientos","43","2013"
"Huesca","Total de nacimientos","21","2013"
"Jaén","Total de nacimientos","73","2013"
"León","Total de nacimientos","21","2013"
"Lleida","Total de nacimientos","36","2013"
"La Rioja","Total de nacimientos","10","2013"
"Lugo","Total de nacimientos","13","2013"
"Madrid","Total de nacimientos","436","2013"
"Malaga","Total de nacimientos","113","2013"
"Murcia","Total de nacimientos","162","2013"
"Navarra","Total de nacimientos","27","2013"
"Ourense","Total de nacimientos","8","2013"
"Asturias","Total de nacimientos","50","2013"
"Palencia","Total de nacimientos","6","2013"
"Las Palmas","Total de nacimientos","67","2013"
"Pontevedra","Total de nacimientos","36","2013"
"Salamanca","Total de nacimientos","14","2013"
"Tenerife","Total de nacimientos","49","2013"
"Cantabria","Total de nacimientos","17","2013"
"Segovia","Total de nacimientos","12","2013"
"Sevilla","Total de nacimientos","162","2013"
"Soria","Total de nacimientos","6","2013"
"Tarragona","Total de nacimientos","46","2013"
"Teruel","Total de nacimientos","8","2013"
"Toledo","Total de nacimientos","46","2013"
"Valencia","Total de nacimientos","152","2013"
"Valladolid","Total de nacimientos","45","2013"
"Bizkaia","Total de nacimientos","48","2013"
"Zamora","Total de nacimientos","10","2013"
"Zaragoza","Total de nacimientos","47","2013"
"Ceuta","Total de nacimientos","19","2013"
"Melilla","Total de nacimientos","14","2013"
"España","Total de nacimientos","2981","2013"
"Álava","Tasa de nacimientos","0.167","2013"
"Albacete","Tasa de nacimientos","0.313","2013"
"Alicante","Tasa de nacimientos","0.278","2013"
"Almería","Tasa de nacimientos","0.452","2013"
"Ávila","Tasa de nacimientos","0.094","2013"
"Badajoz","Tasa de nacimientos","0.252","2013"
"Baleares","Tasa de nacimientos","0.174","2013"
"Barcelona","Tasa de nacimientos","0.175","2013"
"Burgos","Tasa de nacimientos","0.304","2013"
"Cáceres","Tasa de nacimientos","0.188","2013"
"Cádiz","Tasa de nacimientos","0.309","2013"
"Castellón","Tasa de nacimientos","0.165","2013"
"Ciudad Real","Tasa de nacimientos","0.352","2013"
"Córdoba","Tasa de nacimientos","0.24","2013"
"A Coruña","Tasa de nacimientos","0.158","2013"
"Cuenca","Tasa de nacimientos","0.189","2013"
"Girona","Tasa de nacimientos","0.16","2013"
"Granada","Tasa de nacimientos","0.287","2013"
"Guadalajara","Tasa de nacimientos","0.178","2013"
"Gipuzkoa","Tasa de nacimientos","0.118","2013"
"Huelva","Tasa de nacimientos","0.283","2013"
"Huesca","Tasa de nacimientos","0.369","2013"
"Jaén","Tasa de nacimientos","0.342","2013"
"León","Tasa de nacimientos","0.2","2013"
"Lleida","Tasa de nacimientos","0.313","2013"
"La Rioja","Tasa de nacimientos","0.117","2013"
"Lugo","Tasa de nacimientos","0.193","2013"
"Madrid","Tasa de nacimientos","0.256","2013"
"Malaga","Tasa de nacimientos","0.233","2013"
"Murcia","Tasa de nacimientos","0.35","2013"
"Navarra","Tasa de nacimientos","0.151","2013"
"Ourense","Tasa de nacimientos","0.127","2013"
"Asturias","Tasa de nacimientos","0.234","2013"
"Palencia","Tasa de nacimientos","0.153","2013"
"Las Palmas","Tasa de nacimientos","0.204","2013"
"Pontevedra","Tasa de nacimientos","0.157","2013"
"Salamanca","Tasa de nacimientos","0.175","2013"
"Tenerife","Tasa de nacimientos","0.174","2013"
"Cantabria","Tasa de nacimientos","0.123","2013"
"Segovia","Tasa de nacimientos","0.279","2013"
"Sevilla","Tasa de nacimientos","0.277","2013"
"Soria","Tasa de nacimientos","0.254","2013"
"Tarragona","Tasa de nacimientos","0.203","2013"
"Teruel","Tasa de nacimientos","0.219","2013"
"Toledo","Tasa de nacimientos","0.222","2013"
"Valencia","Tasa de nacimientos","0.221","2013"
"Valladolid","Tasa de nacimientos","0.352","2013"
"Bizkaia","Tasa de nacimientos","0.184","2013"
"Zamora","Tasa de nacimientos","0.251","2013"
"Zaragoza","Tasa de nacimientos","0.193","2013"
"Ceuta","Tasa de nacimientos","0.622","2013"
"Melilla","Tasa de nacimientos","0.44","2013"
"España","Tasa de nacimientos","0.234","2013"
"Álava","Total de nacimientos","14","2014"
"Albacete","Total de nacimientos","47","2014"
"Alicante","Total de nacimientos","130","2014"
"Almería","Total de nacimientos","72","2014"
"Ávila","Total de nacimientos","7","2014"
"Badajoz","Total de nacimientos","55","2014"
"Baleares","Total de nacimientos","52","2014"
"Barcelona","Total de nacimientos","235","2014"
"Burgos","Total de nacimientos","16","2014"
"Cáceres","Total de nacimientos","15","2014"
"Cádiz","Total de nacimientos","107","2014"
"Castellón","Total de nacimientos","39","2014"
"Ciudad Real","Total de nacimientos","43","2014"
"Córdoba","Total de nacimientos","61","2014"
"A Coruña","Total de nacimientos","34","2014"
"Cuenca","Total de nacimientos","5","2014"
"Girona","Total de nacimientos","34","2014"
"Granada","Total de nacimientos","90","2014"
"Guadalajara","Total de nacimientos","11","2014"
"Gipuzkoa","Total de nacimientos","11","2014"
"Huelva","Total de nacimientos","43","2014"
"Huesca","Total de nacimientos","13","2014"
"Jaén","Total de nacimientos","79","2014"
"León","Total de nacimientos","24","2014"
"Lleida","Total de nacimientos","44","2014"
"La Rioja","Total de nacimientos","15","2014"
"Lugo","Total de nacimientos","15","2014"
"Madrid","Total de nacimientos","407","2014"
"Malaga","Total de nacimientos","107","2014"
"Murcia","Total de nacimientos","178","2014"
"Navarra","Total de nacimientos","35","2014"
"Ourense","Total de nacimientos","16","2014"
"Asturias","Total de nacimientos","57","2014"
"Palencia","Total de nacimientos","8","2014"
"Las Palmas","Total de nacimientos","67","2014"
"Pontevedra","Total de nacimientos","23","2014"
"Salamanca","Total de nacimientos","20","2014"
"Tenerife","Total de nacimientos","50","2014"
"Cantabria","Total de nacimientos","20","2014"
"Segovia","Total de nacimientos","5","2014"
"Sevilla","Total de nacimientos","167","2014"
"Soria","Total de nacimientos","3","2014"
"Tarragona","Total de nacimientos","28","2014"
"Teruel","Total de nacimientos","4","2014"
"Toledo","Total de nacimientos","43","2014"
"Valencia","Total de nacimientos","184","2014"
"Valladolid","Total de nacimientos","31","2014"
"Bizkaia","Total de nacimientos","53","2014"
"Zamora","Total de nacimientos","11","2014"
"Zaragoza","Total de nacimientos","38","2014"
"Ceuta","Total de nacimientos","4","2014"
"Melilla","Total de nacimientos","20","2014"
"España","Total de nacimientos","2890","2014"
"Álava","Tasa de nacimientos","0.198","2014"
"Albacete","Tasa de nacimientos","0.355","2014"
"Alicante","Tasa de nacimientos","0.24","2014"
"Almería","Tasa de nacimientos","0.328","2014"
"Ávila","Tasa de nacimientos","0.148","2014"
"Badajoz","Tasa de nacimientos","0.226","2014"
"Baleares","Tasa de nacimientos","0.174","2014"
"Barcelona","Tasa de nacimientos","0.172","2014"
"Burgos","Tasa de nacimientos","0.175","2014"
"Cáceres","Tasa de nacimientos","0.114","2014"
"Cádiz","Tasa de nacimientos","0.253","2014"
"Castellón","Tasa de nacimientos","0.24","2014"
"Ciudad Real","Tasa de nacimientos","0.242","2014"
"Córdoba","Tasa de nacimientos","0.216","2014"
"A Coruña","Tasa de nacimientos","0.123","2014"
"Cuenca","Tasa de nacimientos","0.079","2014"
"Girona","Tasa de nacimientos","0.174","2014"
"Granada","Tasa de nacimientos","0.289","2014"
"Guadalajara","Tasa de nacimientos","0.173","2014"
"Gipuzkoa","Tasa de nacimientos","0.068","2014"
"Huelva","Tasa de nacimientos","0.256","2014"
"Huesca","Tasa de nacimientos","0.239","2014"
"Jaén","Tasa de nacimientos","0.311","2014"
"León","Tasa de nacimientos","0.2","2014"
"Lleida","Tasa de nacimientos","0.404","2014"
"La Rioja","Tasa de nacimientos","0.186","2014"
"Lugo","Tasa de nacimientos","0.184","2014"
"Madrid","Tasa de nacimientos","0.246","2014"
"Malaga","Tasa de nacimientos","0.217","2014"
"Murcia","Tasa de nacimientos","0.391","2014"
"Navarra","Tasa de nacimientos","0.221","2014"
"Ourense","Tasa de nacimientos","0.21","2014"
"Asturias","Tasa de nacimientos","0.246","2014"
"Palencia","Tasa de nacimientos","0.179","2014"
"Las Palmas","Tasa de nacimientos","0.202","2014"
"Pontevedra","Tasa de nacimientos","0.088","2014"
"Salamanca","Tasa de nacimientos","0.216","2014"
"Tenerife","Tasa de nacimientos","0.161","2014"
"Cantabria","Tasa de nacimientos","0.143","2014"
"Segovia","Tasa de nacimientos","0.115","2014"
"Sevilla","Tasa de nacimientos","0.265","2014"
"Soria","Tasa de nacimientos","0.125","2014"
"Tarragona","Tasa de nacimientos","0.135","2014"
"Teruel","Tasa de nacimientos","0.102","2014"
"Toledo","Tasa de nacimientos","0.209","2014"
"Valencia","Tasa de nacimientos","0.262","2014"
"Valladolid","Tasa de nacimientos","0.239","2014"
"Bizkaia","Tasa de nacimientos","0.207","2014"
"Zamora","Tasa de nacimientos","0.23","2014"
"Zaragoza","Tasa de nacimientos","0.159","2014"
"Ceuta","Tasa de nacimientos","0.135","2014"
"Melilla","Tasa de nacimientos","0.713","2014"
"España","Tasa de nacimientos","0.223","2014"
